CONTACT_CARD_ID,ENFORCEMENT_TYPE_CD,GANG,GANG_OTHER_I,GANG_OTHER,lat,lon
20012209,ARR,,,,41.74839,-87.63303
20012955,,,,,41.75091,-87.62703
20013177,ANOV,,,,41.75091,-87.62703
20014062,ARR,,,,41.75081,-87.63233
20014179,ANOV,,,,41.75091,-87.62703
20014476,,,,,41.74912,-87.62448
20014477,,,,,41.74912,-87.62448
20014459,,,,,41.75034,-87.63308
20014909,ANOV,,,,41.73599,-87.63170
20015015,ARR,,,,41.75091,-87.62703
20015034,,,,,41.75092,-87.62600
20015246,ARR,,,,41.73611,-87.63754
20015458,ARR,,,,41.73599,-87.63170
20015550,ANOV,,,,41.74722,-87.62921
20015612,ARR,,,,41.73438,-87.63276
20015620,,,,,41.75091,-87.62703
20015729,PSC,,,,41.75091,-87.62703
20015784,ANOV,,,,41.74722,-87.62921
20016111,PSC,,,,41.75093,-87.62582
20016281,ANOV,,,,41.75092,-87.62618
20016282,ANOV,,,,41.75080,-87.63309
20016294,ANOV,,,,41.73629,-87.62457
20016283,ANOV,,,,41.73629,-87.62457
20016453,ANOV,,,,41.74973,-87.63185
20016758,ARR,,,,41.75091,-87.62703
20016616,,,,,41.75091,-87.62703
20017673,ANOV,,,,41.73599,-87.63170
20017668,ARR,,,,41.73440,-87.63162
20018153,ANOV,,,,41.73599,-87.63170
20018392,ARR,,,,41.74352,-87.63338
20018817,ANOV,,,,41.74722,-87.62921
20019473,,,,,41.75084,-87.63066
20019780,,,,,41.74362,-87.62684
20019867,ARR,,,,41.72904,-87.62437
20019873,ARR,,,,41.72904,-87.62437
20019868,,,,,41.73629,-87.62457
20019986,,,,,41.75078,-87.63423
20019987,,,,,41.75078,-87.63423
20020153,,,,,41.73599,-87.63170
20020273,,,,,41.75084,-87.63066
20020294,ANOV,,,,41.73599,-87.63170
20021200,,,,,41.73962,-87.63824
20021314,ANOV,,,,41.74363,-87.62598
20021869,,,,,41.75084,-87.63066
20021678,,,,,41.73599,-87.63170
20021954,,,,,41.74362,-87.62684
20021857,ANOV,,,,41.75084,-87.63066
20106842,ARR,,,,41.75086,-87.62949
20022002,ARR,,,,41.75086,-87.62949
20022186,,,,,41.74548,-87.62438
20022472,,,,,41.73627,-87.62544
20022704,PSC,,,,41.74722,-87.62921
20023639,,,,,41.74544,-87.62628
20023766,,,,,41.74722,-87.62921
20023820,ANOV,,,,41.73599,-87.63170
20023829,ANOV,,,,41.73599,-87.63170
20023816,ANOV,,,,41.73599,-87.63170
20025537,,,,,41.73599,-87.63170
20026257,ARR,,,,41.74362,-87.62684
20027137,ARR,,,,41.73599,-87.63170
20027448,,,,,41.74548,-87.62438
20027651,,,,,41.75093,-87.62582
20027650,ARR,,,,41.75093,-87.62582
20027659,,,,,41.75093,-87.62582
20027892,ANOV,,,,41.73599,-87.63170
20028884,,,,,41.74912,-87.62448
20028921,ARR,,,,41.73599,-87.63170
20108304,ARR,,,,41.73599,-87.63170
20029831,,,,,41.74589,-87.63549
20030224,ANOV,,,,41.73611,-87.63754
20030207,ANOV,,,,41.73611,-87.63754
20030770,,,,,41.75078,-87.63423
20030777,,,,,41.75078,-87.63423
20030785,,,,,41.75078,-87.63423
20031310,ARR,,,,41.73599,-87.63170
20032141,,,,,41.75086,-87.62975
20032480,ANOV,,,,41.74722,-87.62921
20033175,,,,,41.73599,-87.63170
20033575,,,,,41.74722,-87.62921
20033579,,,,,41.73599,-87.63170
20033832,ARR,,,,41.73599,-87.63170
20034224,,,,,41.73628,-87.62499
20034222,,,,,41.73628,-87.62499
20034230,,,,,41.73628,-87.62499
20034541,,,,,41.75084,-87.63066
20034544,,,,,41.75084,-87.63066
20034854,,,N,,41.73599,-87.63170
20035142,,,,,41.73630,-87.62416
20036152,ARR,,,,41.73599,-87.63170
20036151,ARR,,,,41.73599,-87.63170
20036913,,,,,41.75078,-87.63423
20037525,,,,,41.74541,-87.62865
20037478,ANOV,,,,41.73599,-87.63170
20037479,ANOV,,,,41.73599,-87.63170
20037447,ANOV,,,,41.74362,-87.62684
20037745,,,,,41.73599,-87.63170
20037751,,,,,41.73599,-87.63170
20037955,,,,,41.75078,-87.63423
20038351,,,,,41.75078,-87.63423
20038345,,,,,41.75078,-87.63423
20038332,ARR,,,,41.75078,-87.63423
20038356,,,,,41.75078,-87.63423
20038503,ANOV,,,,41.74362,-87.62684
20038618,ANOV,,,,41.75084,-87.63066
20040012,,,,,41.73599,-87.63170
20040422,ARR,,,,41.73627,-87.62544
20040663,OTH,,N,,41.73627,-87.62544
20042088,,,,,41.74722,-87.62921
20041805,,,,,41.73599,-87.63170
20041806,,,,,41.73599,-87.63170
20042002,,,,,41.73423,-87.63068
20042005,,,N,,41.73423,-87.63068
20042643,ANOV,,,,41.75084,-87.63066
20043218,,,,,41.74543,-87.62689
20043217,,,,,41.74543,-87.62689
20043380,OTH,,N,,41.75084,-87.63066
20043846,,,,,41.73599,-87.63170
20044385,,,,,41.73599,-87.63170
20044373,,,,,41.73599,-87.63170
20044454,,,,,41.73084,-87.63618
20044856,,,N,,41.73599,-87.63170
20044926,,,,,41.74362,-87.62684
20044924,,,,,41.74362,-87.62684
20045082,,,,,41.74541,-87.62865
20045162,ANOV,,,,41.73599,-87.63170
20045714,,,,,41.73599,-87.63170
20045715,ARR,,,,41.73599,-87.63170
20046681,,GANGSTER DISCIPLE- FACTION UNK,Y,GANGSTER DISCIPLE- FACTION UNK,41.74909,-87.62638
20049507,ARR,,,,41.73599,-87.63170
20049807,,,,,41.75080,-87.63319
20049880,,,,,41.73543,-87.63509
20050240,,,,,41.75084,-87.63066
20050570,,,N,,41.75086,-87.62990
20050647,,,,,41.73599,-87.63170
20051577,,,,,41.73599,-87.63170
20051581,,,,,41.73599,-87.63170
20052016,PSC,,,,41.74541,-87.62865
20052809,ARR,,,,41.74909,-87.62638
20052805,OTH,,,,41.74909,-87.62638
20053960,,,,,41.75072,-87.63424
20053881,,,,,41.73630,-87.62416
20055151,ARR,,,,41.73599,-87.63170
20055012,,,,,41.73599,-87.63170
20055964,ANOV,,,,41.74362,-87.62684
20056389,,,,,41.75091,-87.62703
20056394,,,,,41.75093,-87.62582
20056386,,,,,41.75093,-87.62582
20056515,ANOV,,,,41.73599,-87.63170
20056725,ARR,,,,41.74992,-87.62947
20056632,,,,,41.75093,-87.62582
20056996,ARR,,,,41.74908,-87.62698
20057400,,,,,41.74362,-87.62684
20057545,ARR,,,,41.74001,-87.62423
20057551,ARR,,,,41.74855,-87.63424
20057563,ARR,,,,41.74855,-87.63424
20057578,ANOV,,,,41.73627,-87.62544
20057586,,,,,41.73627,-87.62544
20057581,,,,,41.73627,-87.62544
20057577,ANOV,,,,41.73627,-87.62544
20057869,ANOV,,,,41.73599,-87.63170
20057926,,,,,41.74362,-87.62684
20059067,,,,,41.73599,-87.63170
20059667,,,,,41.75093,-87.62582
20059782,,,,,41.74542,-87.62750
20061803,OTH,,,,41.74911,-87.62578
20062032,,,,,41.73786,-87.63880
20062033,,,,,41.73786,-87.63880
20062209,,,,,41.73599,-87.63170
20062220,,,,,41.73599,-87.63170
20063211,,,,,41.74726,-87.62694
20063219,,,,,41.74726,-87.62694
20063225,,,,,41.74726,-87.62694
20063692,,,,,41.73627,-87.62544
20063695,,,,,41.73627,-87.62544
20065289,,,,,41.73599,-87.63170
20065530,,,,,41.74544,-87.62628
20065522,,,,,41.74544,-87.62628
20067290,,,,,41.73628,-87.62499
20067294,,,,,41.73628,-87.62499
20067482,,,,,41.74722,-87.62921
20068466,,,,,41.73962,-87.63885
20068702,,,,,41.74908,-87.62698
20068705,,,,,41.74908,-87.62698
20068798,,,,,41.73927,-87.63765
20070371,,,N,,41.73780,-87.63761
20070369,ARR,,,,41.73780,-87.63761
20070770,ARR,,N,,41.74726,-87.62694
20072563,,,N,,41.75086,-87.62949
20072610,,,,,41.75091,-87.62703
20073089,,,,,41.73477,-87.62540
