ssl_score,race,sex,age,count
21,White,Men,30-40,1
44,Black,Men,70-80,1
53,Black,Men,70-80,1
54,White,Women,70-80,1
54,Black,Men,70-80,4
56,Hispanic,Men,70-80,1
57,Hispanic,Men,70-80,1
58,Black,Men,70-80,6
59,Black,Men,70-80,1
59,White,Men,70-80,5
59,Asian,Men,70-80,1
62,White,Women,70-80,1
62,Black,Men,70-80,2
62,White,Men,70-80,5
63,Unknown-Not-Listed,Men,70-80,1
63,Hispanic,Men,70-80,2
63,Black,Men,70-80,10
63,White,Men,70-80,3
63,Asian,Men,70-80,1
64,Black,Men,70-80,2
65,White,Men,70-80,1
65,Black,Men,70-80,1
65,White,Women,70-80,2
66,White,Men,70-80,6
67,White,Men,70-80,1
67,Black,Men,70-80,3
67,Asian,Women,70-80,1
68,White,Women,70-80,1
68,Hispanic,Women,70-80,1
68,Black,Men,70-80,5
68,Black,Women,70-80,1
68,White,Men,70-80,10
68,Hispanic,Men,70-80,4
68,Asian,Men,70-80,1
69,Black,Men,70-80,2
70,Black,Men,70-80,3
71,Hispanic,Men,70-80,2
71,Black,Men,70-80,7
71,White,Men,70-80,4
72,Hispanic,Men,70-80,1
72,Black,Men,70-80,8
72,White,Men,70-80,5
72,White,Women,70-80,2
73,Hispanic,Men,70-80,1
73,White,Men,70-80,6
73,Hispanic,Women,70-80,1
73,White,Women,70-80,1
73,Black,Women,70-80,1
73,Black,Men,70-80,4
73,Asian,Men,70-80,1
74,White,Men,70-80,1
75,Black,Men,70-80,2
75,Black,Women,70-80,1
76,White,Men,70-80,2
76,Hispanic,Men,70-80,3
76,Black,Men,70-80,8
76,Black,Women,70-80,1
76,Asian,Women,70-80,1
76,White,Women,70-80,1
77,Unknown-Not-Listed,Men,70-80,1
77,Black,Women,70-80,2
77,Hispanic,Men,70-80,4
77,Asian,Men,70-80,1
77,White,Women,70-80,2
77,Black,Men,70-80,12
77,White,Men,70-80,12
78,White,Men,70-80,6
78,Hispanic,Men,70-80,2
78,Asian,Women,70-80,1
78,Hispanic,Women,70-80,1
78,White,Women,70-80,1
78,Black,Men,70-80,10
79,White,Men,70-80,2
80,Black,Men,70-80,2
80,Hispanic,Men,70-80,1
81,Hispanic,Women,70-80,2
81,Hispanic,Men,70-80,2
81,White,Women,70-80,6
81,Black,Men,70-80,4
81,Black,Women,70-80,1
81,White,Men,70-80,8
82,Asian,Men,70-80,1
82,Hispanic,Men,70-80,4
82,Black,Women,70-80,3
82,White,Men,60-70,1
82,Black,Men,60-70,2
82,White,Women,70-80,1
82,Black,Men,70-80,8
82,White,Men,70-80,5
83,White,Men,70-80,8
83,Hispanic,Men,70-80,4
83,Black,Men,70-80,13
83,White,Women,70-80,3
84,Black,Men,70-80,2
84,White,Men,70-80,3
84,Asian,Men,70-80,1
85,Hispanic,Men,70-80,3
85,White,Men,70-80,5
85,Black,Men,70-80,8
85,White,Women,70-80,1
85,Black,Women,70-80,1
86,Hispanic,Men,70-80,1
86,Black,Women,70-80,1
86,Black,Men,70-80,8
86,Asian,Men,70-80,1
86,Black,Men,60-70,1
86,White,Men,70-80,4
87,Hispanic,Women,70-80,1
87,Hispanic,Men,70-80,7
87,White,Men,60-70,1
87,White,Men,70-80,12
87,Black,Men,70-80,22
87,White,Women,70-80,2
87,Black,Women,70-80,2
87,Asian,Men,70-80,2
87,Asian,Men,40-50,1
88,White,Men,70-80,2
89,Black,Men,70-80,2
89,White,Men,70-80,1
90,Black,Men,70-80,7
90,White,Women,70-80,2
90,White,Men,70-80,11
90,Black,Women,70-80,2
90,Hispanic,Men,70-80,2
91,Hispanic,Men,70-80,1
91,Hispanic,Women,70-80,1
91,Black,Men,70-80,19
91,Unknown-Not-Listed,Men,70-80,1
91,White,Men,70-80,17
91,Black,Men,50-60,1
91,Black,Women,70-80,3
92,Black,Men,70-80,15
92,Hispanic,Women,60-70,1
92,Hispanic,Men,70-80,3
92,Black,Women,70-80,1
92,White,Men,70-80,11
93,White,Women,70-80,1
93,Hispanic,Men,70-80,2
93,White,Men,70-80,1
93,Black,Men,70-80,3
93,White,Men,40-50,1
94,White,Men,60-70,1
94,Black,Men,70-80,5
94,White,Men,70-80,1
94,Hispanic,Men,70-80,1
95,Black,Women,60-70,1
95,White,Women,70-80,1
95,Black,Men,70-80,15
95,Black,Women,70-80,2
95,White,Men,70-80,10
95,Asian,Men,70-80,1
95,Hispanic,Men,70-80,6
96,White,Women,70-80,4
96,Black,Men,70-80,26
96,White,Men,70-80,18
96,White,Women,60-70,1
96,White,Men,60-70,1
96,Unknown-Not-Listed,Men,70-80,1
96,Black,Women,70-80,6
96,Hispanic,Men,70-80,6
96,Black,Men,60-70,2
96,Asian,Men,70-80,2
96,Asian,Women,70-80,3
97,Hispanic,Women,70-80,1
97,White,Men,70-80,14
97,Black,Men,70-80,11
97,White,Men,60-70,2
